loan_status,recoveries,total_pymnt,total_rec_int,total_rec_late_fee,total_rec_prncp,loan_amnt,term,int_rate,sub_grade,installment,issue_d,annual_inc,emp_length,emp_title,dti,verification_status,purpose,home_ownership,addr_state,zip_code,avg_cur_bal,delinq_2yrs,delinq_amnt,earliest_cr_line,inq_last_6mths,open_acc,open_il_12m,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_tl_90g_dpd_24m,percent_bc_gt_75,pub_rec,pub_rec_bankruptcies,revol_bal,revol_util,tax_liens,tot_cur_bal,tot_hi_cred_lim,total_acc,total_bal_ex_mort,total_bc_limit,revol_bal_joint,annual_inc_joint,dti_joint,verification_status_joint,dti_joint,loan_id
Fully Paid,0.0,37506.4116362882,3506.41,0.0,34000.0,34000.0, 60 months, 16.29%,D1,832.07,Apr-2016,104000.0,2 years,Manager,34.99,Verified,debt_consolidation,MORTGAGE,WA,980xx,41257.0,1.0,0.0,Feb-2004,0.0,14.0,1.0,0.0,4.0,5.0,15.0,6.0,7.0,0.0,100.0,0.0,0.0,17056.0,88.1%,0.0,577599.0,623324.0,31.0,175141.0,14300.0,,,,,,67296
Charged Off,0.0,4666.1,2201.09,0.0,2465.01,20000.0, 60 months, 13.67%,C3,461.96,Apr-2016,50000.0,2 years,warehouse/const,25.97,Verified,debt_consolidation,MORTGAGE,MN,554xx,12350.0,3.0,0.0,Jun-1984,0.0,11.0,1.0,4.0,5.0,9.0,10.0,9.0,16.0,1.0,66.7,0.0,0.0,10691.0,73.2%,0.0,135850.0,344611.0,31.0,30591.0,12900.0,,,,,,74224
Charged Off,0.0,14957.72,7187.68,0.0,7770.04,15000.0, 60 months, 19.53%,D5,393.5,Apr-2016,70000.0,1 year,Sales,9.45,Not Verified,debt_consolidation,RENT,IL,607xx,3270.0,0.0,0.0,Apr-1993,0.0,4.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,0.0,100.0,0.0,0.0,13078.0,97.6%,0.0,13078.0,13400.0,7.0,13078.0,11400.0,,,,,,74225
Charged Off,3880.0,7963.99,1076.24,0.0,3007.75,11200.0, 36 months, 11.99%,C1,371.95,Apr-2016,82000.0,10+ years,ASSISTANT OFFICE MANAGER ,21.15,Source Verified,debt_consolidation,RENT,NY,104xx,4870.0,0.0,0.0,Apr-2005,4.0,19.0,1.0,0.0,3.0,3.0,16.0,8.0,9.0,0.0,66.7,1.0,1.0,6222.0,54.1%,0.0,92534.0,93072.0,25.0,92534.0,7900.0,,,,,,74232
Charged Off,1487.0,17697.8,2780.36,0.0,13430.44,16575.0, 36 months, 10.75%,B4,540.69,Apr-2016,43680.0,< 1 year,Operations,10.63,Not Verified,debt_consolidation,RENT,CO,804xx,1986.0,1.0,0.0,Apr-1990,0.0,9.0,0.0,0.0,4.0,11.0,2.0,9.0,13.0,1.0,0.0,0.0,0.0,15888.0,19.3%,0.0,15888.0,82300.0,15.0,15888.0,59300.0,,,,,,74237
Charged Off,2283.63,29206.02,12853.47,0.0,14068.92,30000.0, 60 months, 18.99%,D4,778.06,Apr-2016,60000.0,6 years,Active Duty,6.04,Verified,other,MORTGAGE,HI,968xx,1947.0,0.0,0.0,Mar-2008,0.0,5.0,0.0,0.0,2.0,5.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,5930.0,30.3%,0.0,9734.0,28460.0,9.0,9734.0,18800.0,,,,,,74241
Charged Off,1265.59,6147.91,1858.6,0.0,3023.72,15000.0, 36 months, 18.25%,D3,544.17,Apr-2016,85000.0,,,30.54,Not Verified,small_business,RENT,CA,919xx,7794.0,2.0,0.0,Sep-2010,0.0,15.0,1.0,0.0,3.0,4.0,9.0,10.0,13.0,0.0,0.0,0.0,0.0,5805.0,38.4%,0.0,93526.0,128866.0,23.0,93526.0,5400.0,,,,,,74256
Charged Off,6039.0,11907.06,725.21,0.0,5142.85,15000.0, 36 months,  5.32%,A1,451.73,Apr-2016,75000.0,10+ years,Owner,14.98,Not Verified,credit_card,OWN,NE,681xx,9660.0,0.0,0.0,Feb-2001,0.0,12.0,1.0,0.0,4.0,9.0,8.0,5.0,14.0,0.0,25.0,0.0,0.0,14170.0,51.7%,0.0,115925.0,132680.0,24.0,115925.0,22100.0,,,,,,74261
Charged Off,0.0,3748.82,1976.99,0.0,1771.83,10025.0, 36 months, 28.67%,G4,418.31,Apr-2016,66000.0,< 1 year,owner,14.67,Not Verified,small_business,RENT,CA,926xx,10139.0,0.0,0.0,Jul-2004,3.0,4.0,2.0,0.0,1.0,6.0,3.0,2.0,6.0,0.0,50.0,0.0,0.0,5443.0,65.6%,0.0,40554.0,47025.0,9.0,40554.0,8300.0,,,,,,74262
Charged Off,0.0,1285.56,451.22,0.0,834.34,3000.0, 36 months, 17.27%,D2,107.37,Apr-2016,23000.0,3 years,Warehouse Associate ,20.62,Verified,renewable_energy,RENT,CA,945xx,588.0,0.0,0.0,Mar-2005,1.0,12.0,0.0,0.0,4.0,4.0,2.0,11.0,11.0,0.0,25.0,0.0,0.0,6199.0,65.9%,0.0,7060.0,11149.0,13.0,7060.0,3800.0,,,,,,74264
Fully Paid,0.0,37464.68,2464.68,0.0,35000.0,35000.0, 36 months, 13.67%,C3,1190.62,Apr-2016,115000.0,10+ years,Compensation Specialist,9.35,Source Verified,debt_consolidation,MORTGAGE,TN,370xx,46226.0,0.0,0.0,Apr-1971,1.0,6.0,1.0,0.0,2.0,5.0,6.0,4.0,11.0,0.0,100.0,0.0,0.0,77790.0,99%,0.0,277358.0,368072.0,18.0,34824.0,8000.0,,,,,,76344
Charged Off,0.0,555.26,191.11,0.0,364.15,4000.0, 36 months, 14.46%,C4,137.61,Apr-2016,16800.0,,,21.64,Verified,debt_consolidation,OWN,AR,716xx,2582.0,0.0,0.0,Jan-1995,0.0,3.0,0.0,0.0,2.0,5.0,4.0,2.0,6.0,0.0,100.0,0.0,0.0,4888.0,95.8%,0.0,7746.0,9100.0,11.0,7746.0,5100.0,,,,,,74269
Charged Off,984.04,3733.66,1199.99,18.65,1530.98,10100.0, 36 months, 19.53%,D5,372.94,Apr-2016,30000.0,10+ years,CPO,17.16,Source Verified,other,MORTGAGE,TN,372xx,6519.0,0.0,0.0,Oct-2001,1.0,9.0,1.0,1.0,1.0,1.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,2719.0,56.6%,0.0,58672.0,69790.0,24.0,58672.0,3800.0,,,,,,74271
Charged Off,915.93,13737.13,2790.99,0.0,10030.21,16800.0, 36 months, 11.99%,C1,557.93,Apr-2016,90000.0,< 1 year,Customer Servive,5.48,Source Verified,other,MORTGAGE,WA,980xx,18119.0,0.0,0.0,May-1996,1.0,13.0,0.0,4.0,5.0,12.0,3.0,10.0,17.0,0.0,16.7,0.0,0.0,5763.0,55.4%,0.0,235552.0,282900.0,24.0,15263.0,4900.0,,,,,,74208
Charged Off,759.67,4370.99,1110.94,0.0,2500.38,8000.0, 36 months, 14.46%,C4,275.22,Apr-2016,52000.0,,,32.65,Source Verified,debt_consolidation,MORTGAGE,TX,795xx,4092.0,0.0,0.0,Nov-1997,1.0,14.0,5.0,1.0,5.0,12.0,56.0,8.0,20.0,0.0,20.0,0.0,0.0,8955.0,48.4%,0.0,57285.0,95996.0,77.0,43051.0,13200.0,,,,,,74278
Charged Off,786.14,7306.04,2194.96,0.0,4324.94,10000.0, 36 months, 18.25%,D3,362.78,Apr-2016,60000.0,10+ years,Manager,30.36,Verified,credit_card,RENT,VA,234xx,4178.0,0.0,0.0,Jun-2007,0.0,11.0,1.0,1.0,4.0,6.0,9.0,6.0,7.0,0.0,20.0,0.0,0.0,8326.0,64%,0.0,45958.0,62144.0,18.0,45958.0,12300.0,,,,,,74293
Charged Off,3364.76,10002.69,3031.58,0.0,3606.35,35000.0, 36 months, 21.97%,E4,1336.13,Apr-2016,82848.0,1 year,Logistics Manager,19.13,Verified,debt_consolidation,RENT,FL,327xx,9998.0,1.0,0.0,Nov-1998,1.0,5.0,2.0,0.0,2.0,3.0,11.0,3.0,6.0,0.0,50.0,0.0,0.0,6122.0,77.5%,0.0,49992.0,53295.0,19.0,49992.0,7000.0,,,,,,74296
Charged Off,1139.43,17396.63,2574.32,0.0,13682.88,26000.0, 36 months,  7.89%,A5,813.43,Apr-2016,320000.0,10+ years,attorney,5.09,Not Verified,debt_consolidation,RENT,NY,118xx,15203.0,0.0,0.0,May-1976,1.0,12.0,2.0,0.0,4.0,11.0,4.0,8.0,20.0,0.0,50.0,1.0,0.0,64878.0,84%,0.0,167234.0,266733.0,25.0,33903.0,19700.0,,,,,,74309
Charged Off,1682.16,17038.72,5806.64,0.0,9549.92,35000.0, 36 months, 18.99%,D4,1282.79,Apr-2016,140000.0,10+ years,Pharmacist,27.95,Source Verified,home_improvement,MORTGAGE,FL,331xx,17692.0,3.0,0.0,Feb-2002,1.0,31.0,0.0,6.0,2.0,16.0,40.0,10.0,20.0,0.0,25.0,0.0,0.0,8653.0,43%,0.0,530764.0,600261.0,63.0,157869.0,19900.0,,,,,,74324
Fully Paid,0.0,28335.234132736,3335.23,0.0,25000.0,25000.0, 60 months,  8.39%,B1,511.59,Apr-2016,100000.0,10+ years,maintenance,16.96,Not Verified,debt_consolidation,MORTGAGE,TN,383xx,5064.0,0.0,0.0,Aug-1978,0.0,9.0,1.0,0.0,3.0,14.0,10.0,7.0,25.0,0.0,33.3,0.0,0.0,27504.0,43.8%,0.0,45579.0,97050.0,35.0,45579.0,33600.0,,,,,,79380
Charged Off,5117.32,19567.85,2041.28,0.0,12409.25,23425.0, 36 months,  6.97%,A3,722.98,Apr-2016,100000.0,10+ years,President,7.68,Not Verified,debt_consolidation,MORTGAGE,TX,782xx,19018.0,0.0,0.0,Jul-1995,0.0,12.0,1.0,0.0,5.0,10.0,3.0,10.0,20.0,0.0,14.3,1.0,0.0,22344.0,48.9%,1.0,228217.0,256690.0,25.0,28034.0,36200.0,,,,,,74325
Charged Off,429.43,1405.1,249.67,0.0,726.0,5000.0, 36 months, 10.75%,B4,163.11,Apr-2016,48000.0,10+ years,Custodian,30.73,Verified,debt_consolidation,RENT,CA,919xx,5601.0,0.0,0.0,Mar-1992,0.0,8.0,1.0,0.0,2.0,3.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,12009.0,46.2%,0.0,44810.0,67000.0,14.0,44810.0,21500.0,,,,,,74337
Charged Off,0.0,10057.16,1310.8,0.0,8746.36,12000.0, 36 months,  7.39%,A4,372.67,Apr-2016,42928.25,,,26.08,Verified,debt_consolidation,MORTGAGE,VA,201xx,1953.0,0.0,0.0,May-1966,0.0,10.0,0.0,0.0,5.0,6.0,1.0,9.0,14.0,0.0,80.0,0.0,0.0,15922.0,74.1%,0.0,19525.0,32607.0,18.0,19525.0,14100.0,,,,,,74338
Charged Off,0.0,4812.26,1116.52,0.0,3695.74,5000.0, 36 months, 14.46%,C4,172.01,Apr-2016,29724.0,,,40.09,Source Verified,debt_consolidation,RENT,SC,296xx,2739.0,0.0,0.0,Apr-1989,0.0,13.0,0.0,1.0,5.0,7.0,6.0,12.0,16.0,0.0,40.0,0.0,0.0,17309.0,52.1%,0.0,35606.0,58568.0,23.0,35606.0,11900.0,,,,,,74340
Charged Off,3039.0,18362.46,2610.97,0.0,12712.49,20000.0, 36 months,  9.16%,B2,637.49,Apr-2016,96000.0,,,24.11,Source Verified,debt_consolidation,MORTGAGE,VA,238xx,19420.0,0.0,0.0,Apr-1986,0.0,24.0,1.0,0.0,2.0,6.0,11.0,20.0,27.0,0.0,25.0,0.0,0.0,16969.0,43.7%,0.0,407817.0,452054.0,40.0,57377.0,8100.0,,,,,,74342
